"time","ticket","race","sex","speed","limit","state","modelyear","percentover"
923,1,"W","M",77,65,"MD",96,18.46
1130,1,"W","M",76,65,"NY",97,16.92
1703,1,"W","F",78,65,"MD",97,20
1255,1,"W","F",74,65,"MD",95,13.85
1320,1,"B","M",84,65,"NY",92,29.23
1610,1,"W","M",83,65,"MA",89,27.69
1630,1,"W","M",91,65,"PA",97,40
1700,1,"W","F",86,65,"MI",93,32.31
1750,1,"B","M",78,65,"DC",95,20
2010,1,"W","M",81,65,"PA",95,24.62
2047,1,"W","M",90,65,"FL",94,38.46
2110,1,"W","F",81,65,"VA",94,24.62
1645,1,"W","M",80,65,"DC",87,23.08
1740,1,"B","F",80,65,"NJ",89,23.08
1800,1,"W","F",77,65,"PA",96,18.46
1820,1,"W","M",83,65,"PA",96,27.69
905,1,"B","M",76,65,"PA",92,16.92
935,1,"W","M",84,65,"PA",95,29.23
951,1,"W","F",75,65,"PA",95,15.38
1510,1,"W","M",73,65,"MD",88,12.31
1455,1,"W","M",88,65,"NY",97,35.38
1730,1,"W","M",73,65,"MD",88,12.31
1830,1,"W","F",74,55,"MD",95,34.55
2315,1,"B","M",82,65,"VA",97,26.15
836,1,"W","F",74,65,"MD",95,13.85
902,1,"W","F",78,65,"MD",94,20
924,1,"B","M",69,65,"NJ",87,6.15
1051,1,"W","M",76,65,"DE",95,16.92
1736,1,"W","M",81,65,"VA",97,24.62
1742,1,"W","F",79,65,"MD",97,21.54
1750,1,"W","M",77,65,"CT",97,18.46
1738,1,"W","F",81,65,"MD",97,24.62
1708,1,"W","M",79,65,"VA",94,21.54
1817,1,"W","M",84,65,"MD",95,29.23
1835,1,"B","M",79,65,"MD",96,21.54
2345,1,"W","F",86,55,"NH",97,56.36
909,1,"W","M",79,65,"PA",97,21.54
930,1,"W","M",76,65,"PA",89,16.92
945,1,"W","M",76,65,"TN",97,16.92
800,1,"B","M",74,65,"CT",92,13.85
120,1,"B","M",91,65,"NJ",92,40
135,1,"W","F",84,65,"NJ",97,29.23
210,1,"B","M",79,65,"VA",97,21.54
1010,1,"B","F",81,65,"DE",89,24.62
830,1,"W","F",78,65,"MD",92,20
1529,1,"W","M",77,65,"NY",96,18.46
1920,1,"W","M",76,65,"NJ",90,16.92
1600,1,"W","M",75,55,"MD",92,36.36
1745,1,"W","M",75,65,"MD",88,15.38
1000,1,"W","M",78,65,"MD",94,20
1800,1,"B","F",78,65,"MD",96,20
1900,1,"W","M",56,45,"MD",94,24.44
1840,1,"W","F",55,45,"MD",87,22.22
725,1,"B","F",78,65,"MD",94,20
800,1,"W","F",80,65,"NJ",95,23.08
850,1,"W","F",78,65,"NY",94,20
905,1,"W","M",79,65,"NY",97,21.54
925,1,"B","F",81,65,"NY",94,24.62
955,1,"B","F",76,65,"PA",85,16.92
