"airport","total_time","distance","month","day_of_week","scheduled_departure","scheduled_arrival","arrival_time","departure_delay","late_night_departure","thursday","delayed"
"LAX",44,89,1,7,1000,1046,1044,-3,FALSE,FALSE,FALSE
"ORD",119,585,5,4,719,915,918,-1,FALSE,TRUE,FALSE
"LAX",71,236,2,7,1640,1750,1751,-4,FALSE,FALSE,FALSE
"ORD",266,1186,8,5,1930,2156,2256,69,FALSE,FALSE,TRUE
"LAX",65,236,5,7,1240,1345,1345,-5,FALSE,FALSE,FALSE
"LAX",243,1744,7,4,1025,1630,1628,3,FALSE,TRUE,FALSE
"ORD",120,678,7,4,1845,2200,2145,0,FALSE,TRUE,FALSE
"MSP",133,913,11,7,1930,2119,2043,-2,FALSE,FALSE,FALSE
"ORD",120,632,3,7,1330,1617,1630,18,FALSE,FALSE,FALSE
"LAX",96,337,12,1,1150,1305,1326,11,FALSE,FALSE,FALSE
"MSP",115,489,12,7,2152,2252,2247,21,FALSE,FALSE,FALSE
"LAX",98,337,3,7,1024,1158,1202,27,FALSE,FALSE,FALSE
"MSP",61,284,9,3,1532,1646,1633,-4,FALSE,FALSE,FALSE
"ORD",148,978,7,2,935,1220,1203,-3,FALSE,FALSE,FALSE
"MSP",106,349,1,2,1735,1915,1921,14,FALSE,FALSE,FALSE
"MSP",212,1399,7,1,1630,1804,1802,-8,FALSE,FALSE,FALSE
"LAX",137,862,1,7,1101,1421,1418,-6,FALSE,FALSE,FALSE
"LAX",212,1535,4,1,1305,1842,1837,1,FALSE,FALSE,FALSE
"ORD",278,1846,1,6,1620,1905,1858,11,FALSE,FALSE,FALSE
"ORD",278,1440,2,1,1724,2015,2102,49,FALSE,FALSE,TRUE
"ORD",119,738,12,4,1815,2124,2114,0,FALSE,TRUE,FALSE
"ORD",144,733,6,1,1640,1955,2004,22,FALSE,FALSE,FALSE
"MSP",79,223,11,3,2001,2108,2120,22,FALSE,FALSE,FALSE
"MSP",69,334,4,5,941,1119,1050,-7,FALSE,FALSE,FALSE
"ORD",152,1005,4,4,603,947,935,-4,FALSE,TRUE,FALSE
"MSP",174,1310,7,2,1311,1721,1705,-4,FALSE,FALSE,FALSE
"LAX",82,370,11,2,1745,2015,2007,-8,FALSE,FALSE,FALSE
"ORD",43,122,1,6,1415,1603,1558,4,FALSE,FALSE,FALSE
"ORD",61,334,9,6,610,742,711,-8,FALSE,FALSE,FALSE
"ORD",100,733,2,6,635,934,915,-6,FALSE,FALSE,FALSE
"LAX",230,1797,12,5,1740,2333,2330,9,FALSE,FALSE,FALSE
"ORD",110,413,6,1,910,1143,1200,27,FALSE,FALSE,FALSE
"MSP",112,528,3,5,1610,1847,1902,24,FALSE,FALSE,FALSE
"ORD",164,160,1,6,945,1041,1229,117,FALSE,FALSE,TRUE
"LAX",258,1947,4,4,540,1305,1258,25,FALSE,TRUE,FALSE
"MSP",74,334,8,4,642,810,756,-5,FALSE,TRUE,FALSE
"LAX",185,1235,3,1,555,1057,1100,-2,FALSE,FALSE,FALSE
"MSP",128,930,9,4,1300,1635,1608,-4,FALSE,TRUE,FALSE
"MSP",96,463,6,6,1951,2224,2227,3,FALSE,FALSE,FALSE
"ORD",82,528,9,5,828,1111,1050,-4,FALSE,FALSE,FALSE
"LAX",78,373,7,5,800,933,918,-5,FALSE,FALSE,FALSE
"ORD",203,1440,4,3,1935,2128,2058,-4,FALSE,FALSE,FALSE
"ORD",274,1514,7,2,1717,1925,1951,45,FALSE,FALSE,TRUE
"LAX",255,1947,8,5,530,1252,1245,4,FALSE,FALSE,FALSE
"ORD",69,315,3,6,1050,1208,1159,-2,FALSE,FALSE,FALSE
"ORD",172,235,9,4,2045,2307,37,107,FALSE,TRUE,TRUE
"ORD",278,1846,2,5,600,849,838,6,TRUE,FALSE,FALSE
"LAX",211,1535,1,4,1300,1839,1831,-4,FALSE,TRUE,FALSE
"ORD",66,196,1,5,1720,1825,1826,12,FALSE,FALSE,FALSE
"ORD",228,1440,1,7,700,950,948,-4,FALSE,FALSE,FALSE
"ORD",196,1197,6,4,600,1007,1016,-10,TRUE,TRUE,FALSE
"ORD",491,2846,7,6,1550,1926,2101,76,FALSE,FALSE,TRUE
"ORD",128,867,11,4,732,1052,1040,-4,FALSE,TRUE,FALSE
"LAX",284,1235,1,5,1436,1933,2120,100,FALSE,FALSE,TRUE
"ORD",183,925,3,6,1720,2016,2023,16,FALSE,FALSE,FALSE
"ORD",94,235,7,5,2110,2337,2344,31,FALSE,FALSE,TRUE
"ORD",87,409,9,5,1347,1519,1514,1,FALSE,FALSE,FALSE
"LAX",254,1750,6,3,1645,2240,2259,19,FALSE,FALSE,FALSE
"LAX",80,109,8,2,1915,2011,2035,40,FALSE,FALSE,TRUE
"ORD",95,287,9,5,830,1102,1105,27,FALSE,FALSE,FALSE
"LAX",122,236,8,4,2110,2225,2312,39,FALSE,TRUE,TRUE
"ORD",81,474,12,4,745,1016,1006,-6,FALSE,TRUE,FALSE
"LAX",58,236,1,5,1915,2029,2013,-4,FALSE,FALSE,FALSE
"ORD",155,802,1,1,1219,1450,1454,39,FALSE,FALSE,TRUE
"LAX",169,1187,5,4,1225,1720,1714,-5,FALSE,TRUE,FALSE
"ORD",40,130,7,3,1650,1754,1730,0,FALSE,FALSE,FALSE
"LAX",192,1379,3,4,746,1257,1258,-5,FALSE,TRUE,FALSE
"LAX",632,2556,1,4,1708,2058,140,280,FALSE,TRUE,TRUE
"ORD",299,1846,5,7,2030,2305,2329,-5,FALSE,FALSE,FALSE
"ORD",78,409,7,4,830,1003,948,-3,FALSE,TRUE,FALSE
"LAX",69,308,8,7,1000,1116,1109,-3,FALSE,FALSE,FALSE
