DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Baltimore MD,MD,South,54.2,39.28,yes,CFB,4,Maryland
Bangor ME,ME,Northeast,41,50.99,no,CFB,3,Maine
Baton Rouge LA,LA,South,66.4,54.96,yes,CFB,15,Louisiana
Beaumont-Port Arthur TX,TX,South,64.8,64.65,yes,CFB,9,Texas
Bend OR,OR,West,48.4,46.36,no,CFB,13,Oregon
"Billings, MT",MT,West,42.7,63.77,no,CFB,7,Montana
Biloxi-Gulfport MS,MS,South,63.4,67.78,no,CFB,14,Mississippi
Binghamton NY,NY,Northeast,45.4,53.49,yes,CFB,4,New York
Birmingham AL,AL,South,62.8,62.35,no,CFB,27,Alabama
Bluefield-Beckley-Oak Hill WV,WV,South,51.8,74.16,no,CFB,14,West Virginia
Boise ID,ID,West,44.4,55.59,no,CFB,14,Idaho
Boston MA-Manchester NH,NH,Northeast,43.8,35.4,no,CFB,3,New Hampshire
Bowling Green KY,KY,South,55.6,66.41,no,CFB,11,Kentucky
Buffalo NY,NY,Northeast,45.4,51.79,yes,CFB,3,New York
Burlington VT-Plattsburgh NY,NY,Northeast,45.4,34.79,yes,CFB,3,New York
Butte-Bozeman MT,MT,West,42.7,48.18,no,CFB,8,Montana
Casper-Riverton WY,WY,West,42,71.09,no,CFB,7,Wyoming
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,North Central,47.8,45.3,no,CFB,10,Iowa
Champaign & Springfield-Decatur IL,IL,North Central,51.8,55.92,yes,CFB,5,Illinois
Charleston SC,SC,South,62.4,48.74,no,CFB,14,South Carolina
Charleston-Huntington WV,WV,South,51.8,69.61,no,CFB,12,West Virginia
Charlotte NC,NC,South,59,53.45,yes,CFB,8,North Carolina
Charlottesville VA,VA,South,55.1,39.58,no,CFB,9,Virginia
Chattanooga TN,TN,South,57.6,68.63,yes,CFB,20,Tennessee
Cheyenne WY-Scottsbluff NE,NE,North Central,48.8,64.88,no,CFB,10,Nebraska
Chicago IL,IL,North Central,51.8,31.09,yes,CFB,5,Illinois
Chico-Redding CA,CA,West,59.4,56.06,yes,CFB,4,California
Cincinnati OH,OH,North Central,50.7,57.57,yes,CFB,8,Ohio
Clarksburg-Weston WV,WV,South,51.8,69.75,no,CFB,14,West Virginia
Cleveland-Akron (Canton) OH,OH,North Central,50.7,46.14,yes,CFB,7,Ohio
Colorado Springs-Pueblo CO,CO,West,45.1,55.71,yes,CFB,7,Colorado
Columbia SC,SC,South,62.4,61.12,no,CFB,17,South Carolina
Columbia-Jefferson City MO,MO,North Central,54.5,45.53,yes,CFB,8,Missouri
Columbus GA,GA,South,63.5,50.82,yes,CFB,21,Georgia
Columbus OH,OH,North Central,50.7,47.9,yes,CFB,13,Ohio
Columbus-Tupelo-West Point MS,MS,South,63.4,63.82,no,CFB,16,Mississippi
Corpus Christi TX,TX,South,64.8,51.18,yes,CFB,7,Texas
Dallas-Ft. Worth TX,TX,South,64.8,53.5,yes,CFB,10,Texas
Davenport IA-Rock Island-Moline IL,IL,North Central,51.8,49.45,yes,CFB,7,Illinois
Dayton OH,OH,North Central,50.7,58.66,yes,CFB,10,Ohio
Denver CO,CO,West,45.1,40.73,yes,CFB,6,Colorado
Des Moines-Ames IA,IA,North Central,47.8,49.64,no,CFB,10,Iowa
Detroit MI,MI,North Central,44.4,41.93,yes,CFB,9,Michigan
Dothan AL,AL,South,62.8,73.61,no,CFB,29,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,CFB,4,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,CFB,5,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,CFB,4,New York
Erie PA,PA,Northeast,48.8,53.78,yes,CFB,5,Pennsylvania
