wage,age,education,marital,industry,health,hours,education_level
31000,58,16,married,transportation,good,35,bachelors
0,23,16,single,service,excellent,40,bachelors
50000,53,12,single,installation_production,good,40,HS
70000,36,20,single,management,excellent,40,professional_phd
14000,22,12,single,service,very_good,40,HS
13800,53,9,single,service,very_good,19,some_HS
120000,60,14,married,management,good,70,associate
10000,67,12,married,service,excellent,15,HS
37440,28,14,single,management,excellent,40,associate
14000,47,13,married,service,very_good,40,some_college
50000,60,18,married,service,very_good,45,masters
42000,63,16,married,service,good,43,bachelors
360000,42,20,married,management,excellent,50,professional_phd
35000,49,12,married,installation_production,very_good,40,HS
3.00E+05,63,16,married,management,good,50,bachelors
20000,34,14,married,service,very_good,40,associate
134000,61,16,single,management,very_good,55,bachelors
30000,51,16,married,management,very_good,40,bachelors
15000,40,16,married,management,excellent,40,bachelors
41000,53,16,married,management,excellent,50,bachelors
0,20,11,single,transportation,good,30,some_HS
30000,48,11,married,construction,good,40,some_HS
35000,39,20,married,management,good,46,professional_phd
37000,55,13,married,installation_production,fair,40,some_college
40000,44,2.5,married,service,good,40,less_than_HS
28000,42,16,married,service,good,40,bachelors
17000,21,13,single,service,excellent,40,some_college
200001,60,20,single,management,very_good,55,professional_phd
49000,60,12,married,service,excellent,50,HS
27960,36,12,married,installation_production,very_good,40,HS
35000,23,13,single,construction,excellent,40,some_college
34000,32,11,single,construction,good,40,some_HS
24000,61,12,single,transportation,good,40,HS
11000,56,16,single,service,good,19,bachelors
40000,31,12,single,service,good,40,HS
500,57,12,single,service,very_good,32,HS
15000,24,12,single,service,very_good,50,HS
50000,53,18,married,management,excellent,40,masters
90002,62,16,married,management,excellent,40,bachelors
99980,41,18,married,management,excellent,40,masters
25000,28,13,married,management,very_good,40,some_college
86000,34,16,married,management,very_good,40,bachelors
25000,21,14,single,management,excellent,40,associate
41000,58,12,married,installation_production,good,40,HS
16691,21,12,single,service,excellent,40,HS
20800,56,14,married,management,excellent,40,associate
44000,34,18,married,service,very_good,40,masters
21000,24,16,married,service,excellent,40,bachelors
67002,43,14,single,management,good,40,associate
41530,28,12,married,management,very_good,52,HS
40000,28,16,married,management,very_good,40,bachelors
0,37,12,married,service,very_good,50,HS
40000,67,12,single,service,very_good,40,HS
6000,35,16,married,ag,good,48,bachelors
45000,56,12,single,service,good,40,HS
70000,42,14,single,construction,good,70,associate
69800,29,16,married,management,very_good,40,bachelors
14000,33,14,single,construction,excellent,40,associate
1300,19,13,single,service,excellent,12,some_college
20000,26,13,single,service,excellent,28,some_college
35000,53,5.5,married,service,fair,40,less_than_HS
23000,55,12,married,service,good,40,HS
10000,24,16,single,service,very_good,13,bachelors
75000,45,12,married,management,excellent,90,HS
67000,49,16,married,management,very_good,40,bachelors
50000,35,14,single,service,good,40,associate
19240,38,13,single,management,good,29,some_college
52000,62,12,single,management,very_good,41,HS
30000,38,12,married,construction,very_good,40,HS
93000,35,16,married,service,excellent,40,bachelors
240000,38,12,married,service,very_good,40,HS
55000,61,13,single,service,fair,35,some_college
16000,25,16,married,management,excellent,20,bachelors
120000,51,16,single,management,very_good,40,bachelors
73500,40,14,married,service,excellent,40,associate
42000,53,14,married,installation_production,excellent,40,associate
30000,65,16,single,service,excellent,40,bachelors
43000,44,16,married,management,very_good,80,bachelors
30000,24,16,single,management,excellent,40,bachelors
0,52,20,married,management,good,12,professional_phd
90000,55,13,married,management,very_good,40,some_college
36228,51,13,single,service,good,32,some_college
40000,50,13,married,service,excellent,40,some_college
73000,38,16,married,installation_production,good,45,bachelors
12000,28,12,married,service,very_good,35,HS
30000,30,12,single,transportation,good,40,HS
2000,23,16,single,service,excellent,35,bachelors
39000,27,12,single,installation_production,very_good,50,HS
33280,40,13,married,service,good,40,some_college
1.00E+05,44,13,married,transportation,excellent,40,some_college
65000,53,12,married,management,excellent,48,HS
86000,39,14,married,management,good,42,associate
18360,52,12,single,service,very_good,40,HS
84000,65,13,married,management,very_good,50,some_college
70000,45,16,married,installation_production,excellent,40,bachelors
25666,69,12,married,service,very_good,32,HS
