id,name,mobility,state,population,urban,seg_racial,seg_income,seg_poverty,seg_affluenc e,commute,income,gini,share_01,gini_99,middle_class,local_tax_rate,local_gov_spending,progressivity,eitc,school_spending,student_teacher_ratio,test_scores,hs_dropout,colleges,tuition,graduation,labor_force_participation,manufacturing,chinese_imports,teenage_labor,migration_in,migration_out,foreign_born,social_capital,religious,violent_crime,single_mothers,divorced,married,longitude,latitude
36402,Vernal,0.253378391,UT,39595,0,0.151,0.02,0.021,0.02,0.557,26254,0.333,5.914,0.273,0.624,0.038,2958,0,0,4.564,20.6,-3.364,0.004,NA,NA,0.11,0.622,0.04,0.021,0.005,0.021,0.019,0.013,-1.541,0.727,0.001,0.148,0.087,0.623,-109.9159775,40.21995544
36403,Soda Springs,0.17699115,ID,13715,0,0.018,0.011,0.003,0.01,0.575,29943,0.251,4.487,0.207,0.691,0.021,2757,0.4,0,4.584,18.2,5.784,-0.02,NA,NA,NA,0.585,0.165,0.525,0.007,0.007,0.015,0.015,0.345,0.818,0.001,0.103,0.07,0.667,-111.7631073,42.54293823
36404,Rock Springs,0.205394194,WY,80730,0,0.042,0.024,0.02,0.023,0.545,33999,0.264,6.384,0.2,0.611,0.053,4123,0,0,7.307,16.1,1.942,0.021,0.012,1128,0.125,0.69,0.072,0.273,0.006,0.018,0.018,0.023,-0.666,0.602,0.001,0.15,0.11,0.618,-110.0383224,41.91302109
36501,Klamath Falls,0.085617594,CA,151353,0,0.106,0.032,0.027,0.036,0.528,29858,0.383,6.928,0.314,0.555,0.022,2909,6.3,0,6.149,20.1,-8.53,-0.008,0.026,1252,-0.097,0.537,0.087,0.588,0.004,0.026,0.021,0.045,-0.247,0.274,0.003,0.224,0.125,0.601,-121.7403717,41.15644836
36502,Burns,0.139393941,OR,7609,0,0.01,0.001,0,0.002,0.73,30896,0.283,2.673,0.256,0.593,0.038,3536,0,1.19,7.314,16,3.847,-0.019,NA,NA,NA,0.64,0.149,0.223,0.005,0.003,0.01,0.021,0.719,0.311,0.001,0.139,0.127,0.608,-119.1090164,43.08067703
36503,Lakeview,0.109826587,OR,7422,0,0.01,0.006,0.007,0.01,0.692,31635,0.37,9.273,0.277,0.583,0.025,2561,0,1.19,6.849,17.5,8.2,-0.039,NA,NA,NA,0.58,0.095,0.106,0.005,0.006,0.018,0.034,0.928,0.308,0.002,0.175,0.136,0.623,-120.3503876,42.76520538
36600,Redding,0.088071346,CA,219295,1,0.042,0.034,0.029,0.038,0.424,33442,0.434,9.24,0.341,0.541,0.019,3203,6.3,0,5.688,22.4,-9.694,NA,0.014,2351,-0.062,0.567,0.079,0.303,0.004,0.032,0.022,0.049,-0.633,0.251,0.004,0.238,0.133,0.561,-122.1635361,40.30780029
36700,Eureka,0.07579273,CA,139540,0,0.07,0.033,0.038,0.028,0.497,30456,0.431,8.783,0.343,0.545,0.018,2849,6.3,0,6.499,20.5,-7.355,NA,0.014,93,-0.052,0.594,0.085,0.162,0.004,0.022,0.022,0.043,0.756,0.356,0.004,0.271,0.13,0.475,-123.0484848,40.84222794
36800,Medford,0.071968012,OR,256995,1,0.038,0.046,0.042,0.053,0.429,36289,0.448,10.847,0.34,0.557,0.024,1783,0,1.19,5.787,21,3.153,0.023,0.008,2364,-0.153,0.585,0.112,0.799,0.004,0.031,0.022,0.044,0.017,0.216,0.001,0.228,0.127,0.575,-123.2816467,42.61839676
36901,Crescent City,0.08342246,CA,48644,0,0.117,0.018,0.017,0.014,0.626,29532,0.387,8.285,0.305,0.574,0.017,2555,6.3,0,5.377,20.4,-9.264,0.002,NA,NA,NA,0.478,0.056,0.137,0.005,0.024,0.02,0.048,-0.418,0.286,0.005,0.255,0.127,0.608,-123.9329529,42.31748581
