"Route","Latitude","Longitude","Total"
5,44.928837,-93.262565,24
5,44.930456,-93.262414,33
5,44.930637,-93.262562,34
5,44.932262,-93.262399,63
5,44.932443,-93.262562,27
5,44.933959,-93.262978,1
5,44.934245,-93.262574,203
5,44.934292,-93.262439,564
5,44.935862,-93.262427,98
5,44.936042,-93.262575,26
5,44.937667,-93.262451,239
5,44.937848,-93.262598,55
5,44.939467,-93.262494,238
5,44.939648,-93.262641,70
5,44.941275,-93.26251,163
5,44.941456,-93.262657,58
5,44.943089,-93.262529,188
5,44.943239,-93.262677,71
5,44.944581,-93.262559,154
5,44.944833,-93.262711,77
5,44.946483,-93.262587,143
5,44.946757,-93.262751,124
5,44.949296,-93.26228,1139
5,44.949624,-93.262602,2413
5,44.951855,-93.262573,225
5,44.952036,-93.262721,54
5,44.953652,-93.262547,523
5,44.953833,-93.262694,219
5,44.955444,-93.262547,290
5,44.955625,-93.262691,235
5,44.957239,-93.262505,224
5,44.957419,-93.262649,132
5,44.959028,-93.262502,432
5,44.959208,-93.262645,313
5,44.960775,-93.262506,91
5,44.960997,-93.26265,142
5,44.962619,-93.262476,758
5,44.9628,-93.262623,815
5,44.965102,-93.262471,430
5,44.965141,-93.262599,136
5,44.966362,-93.262473,329
5,44.966378,-93.26262,272
5,44.968181,-93.262617,109
5,44.968796,-93.262461,220
5,44.968974,-93.262613,113
5,44.971166,-93.262379,737
5,44.971214,-93.262159,146
5,44.971943,-93.259855,4
5,44.97207,-93.264219,285
5,44.972862,-93.26253,770
5,44.973244,-93.26688,113
5,44.97385,-93.268321,195
5,44.974193,-93.265706,134
5,44.974938,-93.267503,231
5,44.975004,-93.271083,582
5,44.975555,-93.268975,364
5,44.976128,-93.273767,2303
5,44.977184,-93.276076,639
5,44.977195,-93.272875,555
5,44.977877,-93.277796,415
5,44.97835,-93.275274,3143
5,44.98021,-93.279666,361
5,44.98074,-93.278362,150
5,44.984507,-93.284041,377
5,44.984581,-93.283937,357
5,44.985631,-93.285635,27
5,44.985801,-93.285644,23
5,44.989679,-93.290844,92
5,44.989899,-93.291565,259
5,44.991928,-93.295264,541
5,44.992181,-93.294066,408
5,44.993178,-93.295696,49
5,44.994044,-93.294061,61
5,44.994248,-93.295701,87
5,44.9951,-93.294062,71
5,44.995338,-93.295699,126
5,44.99641,-93.295704,81
5,44.997295,-93.29405,49
5,44.997494,-93.295695,74
5,44.99905,-93.295691,988
5,44.999249,-93.294037,850
5,45.001375,-93.294079,60
5,45.001604,-93.295693,99
5,45.002454,-93.294038,38
5,45.002707,-93.295694,57
5,45.003581,-93.294044,27
